,Datas,Cidades,Estados,Geocode
256,2020-03-27,são lourenço do oeste,SC,4216909.0
257,2020-03-27,são roque do canaã,ES,3204955.0
258,2020-03-27,união da vitória,PR,4128203.0
259,2020-03-28,açu,RN,2400208.0
260,2020-03-28,brusque,SC,4202909.0
261,2020-03-28,caicó,RN,2402006.0
262,2020-03-28,canguçu,RS,4304507.0
263,2020-03-28,caucaia,CE,2303709.0
264,2020-03-28,dourados,MS,5003702.0
265,2020-03-28,goianésia,GO,5208608.0
266,2020-03-28,guarapari,ES,3202405.0
267,2020-03-28,itagibá,BA,2915205.0
268,2020-03-28,itapemirim,ES,3202801.0
269,2020-03-28,macaíba,RN,2407104.0
270,2020-03-28,mangaratiba,RJ,3302601.0
271,2020-03-28,mariópolis,PR,4115309.0
272,2020-03-28,monte alegre,RN,2407807.0
273,2020-03-28,nova iguaçu,RJ,3303500.0
274,2020-03-28,papanduva,SC,4212205.0
275,2020-03-28,parauapebas,PA,1505536.0
276,2020-03-28,parnaíba,PI,2207702.0
277,2020-03-28,passa e fica,RN,2409100.0
278,2020-03-28,quatiguá,PR,4120705.0
279,2020-03-28,quixadá,CE,2311306.0
280,2020-03-28,são francisco do sul,SC,4216206.0
281,2020-03-28,são gonçalo do amarante,RN,2412005.0
282,2020-03-28,são josé de mipibu,RN,2412203.0
283,2020-03-28,são lourenço da mata,PE,2613701.0
284,2020-03-28,tibau,RN,2411056.0
285,2020-03-28,urussanga,SC,4219002.0
286,2020-03-28,águas lindas de goiás,GO,5200258.0
287,2020-03-29,acrelândia,AC,1200013.0
288,2020-03-29,castro,PR,4104907.0
289,2020-03-29,contenda,PR,4106209.0
290,2020-03-29,extrema,MG,3125101.0
291,2020-03-29,indaial,SC,4207502.0
292,2020-03-29,itacoatiara,AM,1301902.0
293,2020-03-29,itaitinga,CE,2306256.0
294,2020-03-29,itamaraju,BA,2915601.0
295,2020-03-29,itororó,BA,2917102.0
296,2020-03-29,maracanaú,CE,2307650.0
297,2020-03-29,marechal cândido rondon,PR,4114609.0
298,2020-03-29,medianeira,PR,4115804.0
299,2020-03-29,muriaé,MG,3143906.0
300,2020-03-29,novo hamburgo,RS,4313409.0
301,2020-03-29,peabiru,PR,4118808.0
302,2020-03-29,pojuca,BA,2925204.0
303,2020-03-29,porto acre,AC,1200807.0
304,2020-03-29,rio das ostras,RJ,3304524.0
305,2020-03-29,santa luzia,MG,3157807.0
306,2020-03-29,seropédica,RJ,3305554.0
307,2020-03-29,serra do salitre,MG,3166808.0
